,Red chilly powder,1,tsp
,Red Chillies,2,g
,Cinnamon,1,g
,Cloves,1,g
,Coriander powder,1,tbs
,Jeera powder,1,tbs
,Garam masala,1,tsp
,Achaar masala,1,tsp
,Tomatoes,150,g
,Cilantro,0.25,bunches
,Tamarind,5,g
,Green chillies,1,tbs
,Ginger,2,tbs
,Curry leaves,0.25,packets
,Jaggery,1,tsp
,,,
Steps to prepare,,,
1,Wash Toor dal and soak for 1-2 hours,,
2,Pressure Cook dal with turmeric and a little salt (1:3 water ratio) and then whisk it into a paste and keep it aside.,,
3,"Heat oil – add mustard seeds, cumin seeds,  cloves, cinnamon, methi seeds, dried red chillies, hing",,
4,"Add curry leaves, ginger paste, green chilli paste and saute well",,
5,"Then add tomatoes, turmeric powder, coriander cumin powder, red chilli powder and cook till the tomatoes turn mushy",,
6,Add jaggery and tamarind paste.  Add cooked dal to this tempering,,
7,Add 4 cups of water and adjust the dal consistency as required. Add garam masala and aachar masala. ,,
8,Boil it for sometime and garnish it with chopped cilantro,,
,,,
"Red radish, cucumber salad",,,
Ingredients,,,
,,,
,Cucumber,400,g
,Red Radish,400,g
,Black pepper,2,tsp
,Lemon Juice Concentrate,2,tsp
,Salt,to taste,
,,,
,,,
,,,
Steps to Prepare,,,
1,Slice the radishes and cucumber through the thin slicer in the food processor,,
2,"Mix all the ingredients above, add salt and lemon juice concentrate",,
3,Chill until ready to serve,,
,,,
,,,
,,,
Recipe,Long beans potato sabzi,,,
Ingredients,,,
,,,
,Long beans,1000,g
,Potato,250,g
,Sunflower Oil,3,tbs
,Mustard seeds,1,tsp
,Hing,0.5,tsp
,Turmeric powder,1,tsp
,Red chilly powder,1,tsp
,Coriander powder,4,tsp
,Jeera powder,1,tsp
,Cilantro,0.25,bunches
,Lemon juice concentrate,2,tsp
,Salt,to taste,
,Water,150,ml
,,,
,,,
Steps to Prepare,,,
1,Trim and discard both ends of the beans.  Chop them into small pieces (~0.50 inches).  Peel and dice potatotes into .75 inch cubes,,
2,"Heat the oil in a pot.  Add mustard seeds, asafoetida.  Add the chopped vegetables.",,
3,"Now add the turmeric, red chilly powder, and salt and mix well.  Cover for 5-6 minutes.  Uncover and mix well.",,
4,Add little water and let it cook on low flame until the beans and potatoes are cooked and most of the water is absorbed. This may take about 30-45 mins to cook properly. Mix gently in between,,
5,"Once the green beans and potatoes are cooked and tender, add the ground cumin and ground coriander.",,
6,Mix well and cook uncovered on medium heat to burn off most of the excess remaining liquid. Allow 30-45 mins to cook properly on low flame. ,,
7,Add salt to taste and a small amount of freshly squeezed lemon juice.  Add lemon juice based on taste. Mix and garnish with finely chopped fresh cilantro.,,
,,,
,,,
Recipe,Thai Red Curry  with Vegetables and Tofu,,,
Ingredients,,,
,Red Curry Paste,4,oz
,Coconut milk,1.5,cans
